일련번호,Title,연도,저자,구분,Topic,요약
0,1000년,2022,발레리 한센,역사/사회,초기 세계화,"세계화라는 것이 20세기 이후, 또는 빨라도 15세기 신대륙 발견과 함께 시작되었다는 기존 통념을 반박하며, 서기 1000년을 전후로 이미 세계화가 상당히 진척되었음을 밝히고 있다.노르드인이 캐나나 뉴펀들랜드에 상륙하여, 이미 북아메리카 진출했다는 놀라운 사실과 함께, 아메리카 내에서는, 북아메리카와 마야문명이 인적,물적 교류가 일어났다는 증거들도 많이 있다.유럽의 노예였던 슬라브족을 둘러싼, 스칸디나비아인 또는 루스인(러시아)의 노예 무역이 번성했으면, 서아프리카는 14세기 포르투갈이 아닌, 이미 이시대에 사하라를 걸쳐서 이슬람 제국과 무역을 진행하고 있었다.이슬람 가즈니 왕조와 힌두교의 인도, 불교의 요나라, 그리고 징기스칸에 이르기까지의 중앙아시아를 통한 교류도 활발했다.폴리네시아 인은 마다가스카르에서 중국까지 넓은 항해로를 이미 개척하고, 뉴질랜드까지 이르렀고, 중국이 동남아시아, 인도, 이슬람, 아프리카, 유럽과 교류를 하고 있었다."
1,100년 투자 가문의 비밀,2021,존 로스차일드,경제/경영,장기 투자,"데이비스 가문의 투자 이력에 대해 미국의 100년 역사와 같이 설명한다.데이비스는 30년대에 채권에 투자함으로써 대공황의 주식 폭락을 견디고 시드머니를 확보한다. 그는 40년대 후반의 늦은 나이에 주식 투자를 했지만, 정부기관에 일할때 경험한 보험업에 대한 통찰을 발휘하여 50년대 호황기에 저평가된 보험주에 투자하여 큰 이득을 얻는다. 그리고 해외에도 눈을 돌려 일본의 장부가 이하의 저평가 보험주로 큰 수익을 거둔다.자녀들의 신탁재산이 증시호황으로 급증하자, 일부만 증여하고 나머지는 기부하는등, 경제적 독립심과 함께, 투자에 대한 관념을 조기교육한다.아들 셸비는 70년대에 투자회사에 입문하는데, 스태그플레이션과 증시 정체로 아버지보다 저조한 성적으로 시작한다. 하지만 그레이엄의 가치투자에 입각한 유행 기술주가 아닌 저평가주를 매입하는 전략을 지속해서, 70년대를 버텨낸다. 80년대 이후 금리하락과 경기호황에 맞춰 금융주에 투자하고, 때때로의 주가 급락시 위기를 기회로 대처하고, 장기 투자를 지속한다.이런 장기투자, 적정가 매입, 저가매수 기회 활용하되, 시대적 변수를 잘 파악하는 것이 그들의 주요한 투자 원칙이다. "
2,10년후 세계사,2015,구정은,역사/사회,사회 문제,"현대 세계의 이슈와 가까운 미래에 대한 전망을 제시한다. 먼저 사회경제 분야에서는, 비정규/임시직의 제로아워 계약을 고발하고, 저개발 아시아 국가의 저렴한 노동력을 착취 문제, 빈부 격차의 심화를 다루면서, 제3세계 메가시티의 우울한 전망, 기후위기의 문제, 노령화에 대응하기 위한 시각의 전환을 요구한다. 국제 정치에 대해서는, 저개발국 원조의 문제와, 유럽 통합의 위기, 중국의 부상과 그 전망을 논의하고, 쇠약해지고 있는 미국, 아랍의 봄의 실패과 함께, 대안으로써 주민참여예산과 같이 새로운 실험이 일어나는 라틴 아메리카에 대해 알아본다.미래전망과 기술문명에 대해서는, 이민을 통해 낮아지는 국경의 미래와 과거사 극복에 대한 문제와 함께, 생명복제 기술의 전망, 전염병에 대한 경계, 그리고 안락사에 대한 첨예한 논쟁에 대해서도 다룬다.전반적으로 현대 사회의 이슈를 망라하긴 했지만, 건설적인 대안에 대해서는 다소 부족한 느낌"
3,10년후 이곳은 제2의 강남,2019,이승훈,경제/경영,부동산 투자,"한국 부동산에 대한 일반 전망으로서, 인구 감소, 공급 증가, 대출 규제등의 영향은 지역에 따라 다르며 서울 부동산은 지속적으로 유망하다서울에서 강남에 버금갈 지역(모두 재개발/재건축 예정지)용산. 서울의 중심의 위치이자 대규모 인프라 개발(국제업무지구/용산공원)이 포인트. 동부 이촌동과 한남 뉴타운여의도. 일자리/상업지역/한강변 입지가 뛰어남성수. 강남과 마주본 입지, 지속적인 개발 수요가 있는 준공업지가 포인트노량진. 강남 교통 접근성 및 여의도 업무 지구 인접성이 핵심그에 못하지만 유망한 지역도 소개한다.관악구는 2호선 강남 접근성. 자양동은 강남과 마주본 입지.영등포는 준공업지의 업무단지 개발. 구로구는 대림동 중국인 투자를 기대 노원창동은 창동기지 개발에 따른 수혜를 예상하고 있다"
4,10년후 이곳은 제2의 판교,2020,이승훈,경제/경영,부동산 투자,"경기권에서 최고 입지인 판교의 성공 요인을 분석하며, 판교에 근접할 수 있는 예상 지역을 소개한다.판교의 성공 요인은, 서울과의 근접성, 교통, 대규모 일자리, 대단지, 신축이다. 이를 고려한 유망지역을 검토해 보자.먼저 이미 높은 가치를 보여주는 곳이다. (대부분 신도시이다)과천. 위례. 성남구도심. 분당. 미사. 광명. 평촌다음으로 앞으로 기대되는 지역이다.평택 고덕(장점: 삼성. 단점: 물량/서울거리) 일산(장점: 교통. 단점: 창릉) 산본. 동탄(장점: 대규모/일자리. 단점: 서울거리) 송도(장점:환경/학군. 단점:서울거리) 김포(장점:마곡. 단점: 공급/교통). 광교(장점:환경. 신분당선). 부천 중동(장점:평지. 단점: 일자리X). 용인(신분당선 주변만 볼것). 수원(장점:일자리. 신분당선/GTX 예정)"
6,12가지 인생의 법칙,2018,조던 피터슨,인문/자기계발,개인 성장,"모든 인생의 과제를 자신의 노력을 통해서 해결해야 한다는, 자신의 어제를 리셋하고 새로운 나로 태어나는 과정이 수반되어야 한다는 것이 핵심 메시지이다. 또한 삶은 고통으로 점철되어 있다는 것을 인정해야 좀더 인생을 충실하게 영위해 갈 수 있다.무엇보다 명심할 것은, 남과 비교하지 말고, 매일매일 단지 어제의 나와 비교해가면서 점진적인 개선을 지속해 나가는 것이다. 그게 인생의 의미이다."
7,1등의 통찰,2016,히라이 다카시,경제/경영,데이터 기반 경영,"통찰력을 키우기 위해서, 문제 발생시 단순히 반대하거나, 기존의 카테고리 관념에 따지는등의 습관적 사고를 피하고, 시스템적 사고를 하는 것이 필요하다. 저자는 모델과 다이나미즘을 통해서 문제를 시스템적으로 해결하는 방법을 제안한다. 모델은 인풋, 아웃풋, 경쟁, 협력관계, 외부영향으로 요소가 나뉘는데, 각 요소가 잘 정의하여 모델을 세우는 것이 중요하며, 자동차를 예로 들면 제조층/조직층등 다양한 레이어에서 이를 살펴야 한다.시간에 따른 다이너미즘 측면에서, 스톡/플로, 비선형 관계, 상전이 같이 판세가 완전히 바뀌는 지점을 파악하는 것이 중요하다.문제의 해결을 위해서는 모델을 변형해야 하며, 전제조건을 바꾸거나, 눈앞이 아닌 다소 떨어진 시야에서 찾는 것도 필요하다.마지막으로 실행하면서 현실을 통해 피드백을 받는것도 중요하고, 위의 과정들을 몸에 익히기 위해 주변 사람들에게 설명하기 같은 팁도 제시한다"
8,2018 인구절벽이 온다,2014,해리 덴트,경제/경영,인구 구조 변화,"인구통계학이 세계 경제의 발전과 위기를 예측하는 중요한 변수임을 주장한다. 현재의 미국을 비롯한 선진국은 2차 세계 대전을 이후로 베이비 부머에 의한 거대한 인구 증가를 경험했고, 이는 이후 장기간에 걸쳐 소비의 급격한 증가등 경제의 중요한 변수로 작용하고 있다. 하지만 90년대 이후 이들의 노령화에 따른 인구 절벽을 맞게 될 것이고 이를 대비해야 한다.일본은 이보다 10년 앞서 베이비부머 세대가 존재했고, 이로 인해 90년대 이후 장기 침체를 경험하고 있다. 끝없는 양적 완화 정책을 쓰고 있지만, 공공부채의 급증등 부작용이 더 커서 근본적인 해결책이 될 수 없다.신흥 경제대국인 중국도 저출산 정책으로 인해 인구절벽을 곧 경험할 것이기 때문에, 도시화의 극대화를 통한 경제성장 전략도 한계를 맞아 위기를 막는데 실패할 것이다.이런 전반적인 인구구조의 한계는 버블의 붕괴와 함께, 디플레이션을 유발할 것이며, 우리는 이런 경제의 겨울을 잘 견디고 새로운 봄에 혁신을 통해 새로운 사업 기회를 발전시켜야 한다"
9,2019 부의 대절벽,2016,해리 덴트,경제/경영,경제 주기,"저자는 버블에 대해서 다년간 연구한 결과를 바탕으로, 버블의 속성을 설명하고 버블의 예측 및 대응 방안을 제시한다.버블은, 주기적/기하급수적이며 버블이 터지면 시작된 위치까지 되돌아간다. 버블은 역사적으로 네덜란드의 튤립 투기에서 기원하고, 미국에서 철도 및 20세기초의 전기 혁명으로 인한 버블은 대공황과 함께 터지고 말았다. 지금은 90년대 이후 발생한 버블의 한복판에 있으며, 이는 베이비부머가 주도한 거대한 세대지출주기의 영향으로 이해할 수 있다.하지만 미국및 서구권은 2008년 발생한 금융위기를 통해 버블을 해소해야 함에도 불구하고, 양적완화와 막대한 재정부채를 통해 위기를 모면하는데 급급했다. 이런 정책은 임시 방편일 뿐이며 곧 버블이 꺼지는 것을 피할 수 없다.미국뿐 아니라, 중국은 더욱 거대한 부채 버블을 가지고 있으며, 급격한 도시화 진행과 부동산을 통한 경기 부양이 한계에 이르렀다. 저자는 여러 차트의 분석을 통해 2018-2020년에 전세계적인 거대한 버블 붕괴가 일어날 것을 예상한다.이를 극복하기 위해서는, 현금 유동화 및 미국 장기 국채와 달러를 보유하는 것이 유일한 길이며, 부동산은 매각/사업도 핵심 위주로 축소 경영해야 한다"
10,2022 시니어 트렌드,2021,고려대학교 고령사회연구센터,경제/경영,고령화 사회,"고령화 사회를 맞아 새로운 시각으로 시니어 비즈니스를 창출할 수 있는 방법을 제시하고 있다.먼저 인터넷/앱 서비스에서 시니어 친화적인 디자인가 필요한데, 중국과 일본이 이 분야에서 대단히 빠르게 움직이고 있다. 금융 관점에서는, 60대이상이 차지하는 자산 비중이 50%를 넘는점에 주목해야 한다. DMM과 같은 자산관리서비스, 상속신탁서비스등이 급성장하고 있다. 체력적으로 건강한 시니어들은 걷기등 운동과 취미에도 적극적이다.시니어 1인가구의 증가에 따라, 공동생황을 통해 삶의 활력을 찾도록 하는 쉐어하우스/밀키트 시장도 커지고 있다. 연예계도 예외가 아닌데, 트로트가 히트를 기록하는 현상에 주목해야 한다. 또한, 요양원등이 아닌 집에서 지내려는 수요가 많아져, 데이케어센터나 로봇서비스도 각광받고 있다.에이징테크, 즉 노화를 방지하는 의학기술도 미국등 선진국을 중심으로, 암이나 노화세포 억제 효과를 가진 약물 개발이 이루어지고 있다.고령화가 세계 공동의 과제인만큼, 국가를 넘어서 전사회적으로 플랫폼을 혁신하려는 공동의 노력이 필요하다"
